+-------------------------------+-----------------------+---------------+-----------------------+-------+---------+------------+----------+-----------+--------------+----------------+----------------------+-----------------+---------------------+------------------------------+---------------------------+-------------+-------------------------+-----------------+----------+--------+-----------+------------+------------+--------------+
| created_on                    | name                  | database_name | schema_name           | kind  | comment | cluster_by |     rows |     bytes | owner        | retention_time | automatic_clustering | change_tracking | search_optimization | search_optimization_progress | search_optimization_bytes | is_external | enable_schema_evolution | owner_role_type | is_event | budget | is_hybrid | is_iceberg | is_dynamic | is_immutable |
|-------------------------------+-----------------------+---------------+-----------------------+-------+---------+------------+----------+-----------+--------------+----------------+----------------------+-----------------+---------------------+------------------------------+---------------------------+-------------+-------------------------+-----------------+----------+--------+-----------+------------+------------+--------------|
| 2024-08-27 23:36:19.667 -0700 | AISLES                | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |      134 |      3072 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-27 23:37:16.889 -0700 | DEPARTMENTS           | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |       21 |      1536 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-28 00:50:28.992 -0700 | DIM_AISLES            | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |      134 |      3072 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-28 00:51:09.175 -0700 | DIM_DEPARTMENTS       | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |       21 |      1536 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-28 00:54:07.320 -0700 | DIM_ORDERS            | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |  3421083 |  19061248 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-28 00:52:35.881 -0700 | DIM_PRODUCTS          | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |    49688 |   1018880 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-28 00:48:38.349 -0700 | DIM_USERS             | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |  3421083 |   7446016 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-28 01:10:25.358 -0700 | FACT_ORDER_PRODUCTS   | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |  1629485 |   6972928 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-27 23:44:23.116 -0700 | ORDERS                | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |  3421083 |  25853952 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-27 23:39:02.231 -0700 | ORDER_PRODUCTS__PRIOR | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            | 32434489 | 106465280 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-27 23:44:19.846 -0700 | ORDER_PRODUCTS__TRAIN | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |  1384617 |   4593152 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
| 2024-08-27 23:46:13.364 -0700 | PRODUCTS              | DEMO_SALES    | INSTACART_DIMENSIONAL | TABLE |         |            |    49688 |   1100288 | ACCOUNTADMIN | 1              | OFF                  | OFF             | OFF                 |                         NULL |                      NULL | N           | N                       | ROLE            | N        | NULL   | N         | N          | N          | N            |
+-------------------------------+-----------------------+---------------+-----------------------+-------+---------+------------+----------+-----------+--------------+----------------+----------------------+-----------------+---------------------+------------------------------+---------------------------+-------------+-------------------------+-----------------+----------+--------+-----------+------------+------------+--------------+
12 Row(s) produced. Time Elapsed: 0.244s
